Date,simbolo,actions,quantity
2023-12-04 00:00:00-05:00,GC=F,buy,1
2023-12-05 00:00:00-05:00,GC=F,buy,13
2023-12-06 00:00:00-05:00,GC=F,sell,28
2023-12-07 00:00:00-05:00,GC=F,buy,29
2023-12-08 00:00:00-05:00,GC=F,buy,3
2023-12-11 00:00:00-05:00,GC=F,sell,20
2023-12-12 00:00:00-05:00,GC=F,buy,21
2023-12-13 00:00:00-05:00,GC=F,buy,18
2023-12-14 00:00:00-05:00,GC=F,buy,16
2023-12-15 00:00:00-05:00,GC=F,sell,29
2023-12-18 00:00:00-05:00,GC=F,sell,5
2023-12-19 00:00:00-05:00,GC=F,buy,19
2023-12-20 00:00:00-05:00,GC=F,buy,18
2023-12-21 00:00:00-05:00,GC=F,sell,14
2023-12-22 00:00:00-05:00,GC=F,buy,20
2023-12-26 00:00:00-05:00,GC=F,sell,24
2023-12-27 00:00:00-05:00,GC=F,buy,11
2023-12-28 00:00:00-05:00,GC=F,sell,19
2023-12-29 00:00:00-05:00,GC=F,sell,5
2024-01-02 00:00:00-05:00,GC=F,buy,1
2024-01-03 00:00:00-05:00,GC=F,buy,23
2024-01-04 00:00:00-05:00,GC=F,sell,17
2024-01-05 00:00:00-05:00,GC=F,sell,3
2024-01-08 00:00:00-05:00,GC=F,sell,21
2024-01-09 00:00:00-05:00,GC=F,buy,1
2024-01-10 00:00:00-05:00,GC=F,sell,8
2024-01-11 00:00:00-05:00,GC=F,sell,17
2024-01-12 00:00:00-05:00,GC=F,sell,10
2024-01-16 00:00:00-05:00,GC=F,buy,12
2024-01-17 00:00:00-05:00,GC=F,sell,3
2024-01-18 00:00:00-05:00,GC=F,buy,11
2024-01-19 00:00:00-05:00,GC=F,sell,7
2024-01-22 00:00:00-05:00,GC=F,buy,16
2024-01-23 00:00:00-05:00,GC=F,buy,3
2024-01-24 00:00:00-05:00,GC=F,buy,22
2024-01-25 00:00:00-05:00,GC=F,buy,12
2024-01-26 00:00:00-05:00,GC=F,buy,25
2024-01-29 00:00:00-05:00,GC=F,sell,13
2024-01-30 00:00:00-05:00,GC=F,buy,2
2024-01-31 00:00:00-05:00,GC=F,sell,12
2024-02-01 00:00:00-05:00,GC=F,sell,21
2024-02-02 00:00:00-05:00,GC=F,sell,16
2024-02-05 00:00:00-05:00,GC=F,sell,16
2024-02-06 00:00:00-05:00,GC=F,sell,19
2024-02-07 00:00:00-05:00,GC=F,sell,4
2024-02-08 00:00:00-05:00,GC=F,buy,24
2024-02-09 00:00:00-05:00,GC=F,sell,4
2024-02-12 00:00:00-05:00,GC=F,sell,29
2024-02-13 00:00:00-05:00,GC=F,sell,25
2024-02-14 00:00:00-05:00,GC=F,sell,29
2024-02-15 00:00:00-05:00,GC=F,sell,22
2024-02-16 00:00:00-05:00,GC=F,buy,5
2024-02-20 00:00:00-05:00,GC=F,sell,1
2024-02-21 00:00:00-05:00,GC=F,sell,19
2024-02-22 00:00:00-05:00,GC=F,buy,0
2024-02-23 00:00:00-05:00,GC=F,sell,17
2024-02-26 00:00:00-05:00,GC=F,buy,9
2024-02-27 00:00:00-05:00,GC=F,buy,23
2024-02-28 00:00:00-05:00,GC=F,sell,22
2024-02-29 00:00:00-05:00,GC=F,buy,11
2024-03-01 00:00:00-05:00,GC=F,buy,9
2024-03-04 00:00:00-05:00,GC=F,buy,26
2024-03-05 00:00:00-05:00,GC=F,sell,10
2024-03-06 00:00:00-05:00,GC=F,sell,3
2024-03-07 00:00:00-05:00,GC=F,sell,5
2024-03-08 00:00:00-05:00,GC=F,sell,27
2024-03-11 00:00:00-04:00,GC=F,sell,18
2024-03-12 00:00:00-04:00,GC=F,sell,10
2024-03-13 00:00:00-04:00,GC=F,sell,2
2024-03-14 00:00:00-04:00,GC=F,buy,5
2024-03-15 00:00:00-04:00,GC=F,sell,7
2024-03-18 00:00:00-04:00,GC=F,sell,13
2024-03-19 00:00:00-04:00,GC=F,buy,20
2024-03-20 00:00:00-04:00,GC=F,buy,6
2024-03-21 00:00:00-04:00,GC=F,buy,1
2024-03-22 00:00:00-04:00,GC=F,buy,18
2024-03-25 00:00:00-04:00,GC=F,buy,1
2024-03-26 00:00:00-04:00,GC=F,buy,29
2024-03-27 00:00:00-04:00,GC=F,sell,3
2024-03-28 00:00:00-04:00,GC=F,buy,6
2024-04-01 00:00:00-04:00,GC=F,sell,27
2024-04-02 00:00:00-04:00,GC=F,buy,7
2024-04-03 00:00:00-04:00,GC=F,buy,9
2024-04-04 00:00:00-04:00,GC=F,buy,8
2024-04-05 00:00:00-04:00,GC=F,buy,20
2024-04-08 00:00:00-04:00,GC=F,sell,2
2024-04-09 00:00:00-04:00,GC=F,buy,23
2024-04-10 00:00:00-04:00,GC=F,sell,24
2024-04-11 00:00:00-04:00,GC=F,buy,27
2024-04-12 00:00:00-04:00,GC=F,sell,9
2024-04-15 00:00:00-04:00,GC=F,buy,8
2024-04-16 00:00:00-04:00,GC=F,sell,2
2024-04-17 00:00:00-04:00,GC=F,buy,16
2024-04-18 00:00:00-04:00,GC=F,buy,9
2024-04-19 00:00:00-04:00,GC=F,sell,27
2024-04-22 00:00:00-04:00,GC=F,buy,29
2024-04-23 00:00:00-04:00,GC=F,buy,4
2024-04-24 00:00:00-04:00,GC=F,sell,11
2024-04-25 00:00:00-04:00,GC=F,buy,2
2024-04-26 00:00:00-04:00,GC=F,sell,1
2024-04-29 00:00:00-04:00,GC=F,sell,8
2024-04-30 00:00:00-04:00,GC=F,sell,1
2024-05-01 00:00:00-04:00,GC=F,sell,21
2024-05-02 00:00:00-04:00,GC=F,sell,22
2024-05-03 00:00:00-04:00,GC=F,sell,16
2024-05-06 00:00:00-04:00,GC=F,sell,6
2024-05-07 00:00:00-04:00,GC=F,sell,10
2024-05-08 00:00:00-04:00,GC=F,sell,29
2024-05-09 00:00:00-04:00,GC=F,sell,17
2024-05-10 00:00:00-04:00,GC=F,buy,0
2024-05-13 00:00:00-04:00,GC=F,sell,2
2024-05-14 00:00:00-04:00,GC=F,sell,14
2024-05-15 00:00:00-04:00,GC=F,sell,0
2024-05-16 00:00:00-04:00,GC=F,sell,3
2024-05-17 00:00:00-04:00,GC=F,buy,18
2024-05-20 00:00:00-04:00,GC=F,sell,11
2024-05-21 00:00:00-04:00,GC=F,buy,5
2024-05-22 00:00:00-04:00,GC=F,sell,2
2024-05-23 00:00:00-04:00,GC=F,buy,14
2024-05-24 00:00:00-04:00,GC=F,buy,14
2024-05-28 00:00:00-04:00,GC=F,buy,25
2024-05-29 00:00:00-04:00,GC=F,buy,11
2024-05-30 00:00:00-04:00,GC=F,sell,16
2024-05-31 00:00:00-04:00,GC=F,sell,1
2024-06-03 00:00:00-04:00,GC=F,sell,14
2024-06-04 00:00:00-04:00,GC=F,buy,20
2024-06-05 00:00:00-04:00,GC=F,buy,26
2024-06-06 00:00:00-04:00,GC=F,buy,26
